txn_id,branch,city,amount,transaction_type,status,timestamp
,Branch 3,Bangalore,4886.71,Failed,Failed,
T624657,Branch 3,,2411.3,Failed,Success,2025-04-04 17:17:46.966170
T362514,Branch 3,Bangalore,2371.58,Deposit,Failed,2025-04-02 12:20:47.116073
,Branch 3,Bangalore,4409.35,Failed,Success,2025-04-05 15:58:16.159609
T545877,Branch 3,Bangalore,,Deposit,Success,
T933348,Branch 3,Bangalore,547.34,Transfer,Success,2025-04-05 06:30:22.070944
T443401,Branch 3,Bangalore,4961.64,Withdrawal,Success,2025-04-02 16:50:05.628746
T679491,Branch 3,Bangalore,3795.64,Transfer,Failed,2025-04-05 19:50:49.136954
T313917,Branch 3,Bangalore,2510.57,Transfer,Success,2025-04-04 03:07:03.504524
T323359,Branch 3,Bangalore,216.56,Transfer,Success,
T988223,Branch 3,Bangalore,2227.57,Withdrawal,Failed,2025-04-05 04:49:12.488500
T906384,Branch 3,Bangalore,,Withdrawal,Success,2025-04-07 21:36:54.540743
,Branch 3,Bangalore,442.48,Deposit,Success,2025-04-02 21:08:40.320575
T173155,Branch 3,Bangalore,2194.13,,Success,2025-04-03 01:00:04.025781
T884072,Branch 3,Bangalore,422.12,Withdrawal,Success,2025-04-01 01:39:33.761531
T654154,Branch 3,Bangalore,2918.94,,Failed,2025-04-06 07:30:58.060714
T721131,Branch 3,Bangalore,638.87,Withdrawal,Failed,2025-04-07 05:15:35.598315
T795706,Branch 3,Bangalore,1829.76,,Failed,2025-04-04 07:33:52.216670
T781324,Branch 3,,4068.03,Transfer,Failed,2025-04-04 21:24:23.187309
T557471,Branch 3,Bangalore,1505.54,Transfer,Failed,2025-04-02 03:30:28.727462
T563242,Branch 3,Bangalore,2407.08,Deposit,Success,2025-04-03 17:42:08.048733
,Branch 3,Bangalore,207.99,Deposit,Failed,2025-04-06 18:22:40.188864
,Branch 3,Bangalore,1070.85,Withdrawal,Success,2025-04-02 19:46:52.250073
T478264,Branch 3,Bangalore,4829.75,Transfer,Success,2025-04-04 15:52:48.915164
T825134,Branch 3,Bangalore,2838.8,Transfer,Success,2025-04-01 06:52:22.210911
,Branch 3,Bangalore,3903.35,Failed,Failed,2025-04-01 16:06:54.284552
T210599,Branch 3,Bangalore,4406.89,Failed,Failed,2025-04-03 22:37:01.863703
T283917,Branch 3,Bangalore,2800.54,Deposit,Success,2025-04-01 12:30:23.248872
T850171,Branch 3,Bangalore,1419.48,Failed,Failed,2025-04-07 07:05:57.611272
T907725,Branch 3,Bangalore,4483.97,Deposit,Failed,2025-04-01 21:55:54.742023
,Branch 3,Bangalore,2217.05,,Success,2025-04-07 15:59:14.632672
T860866,Branch 3,Bangalore,2455.09,Deposit,Failed,2025-04-07 04:27:45.170699
T241604,Branch 3,Bangalore,2953.74,Deposit,Failed,2025-04-07 17:58:03.463973
T657160,Branch 3,Bangalore,1538.22,Transfer,Failed,2025-04-07 02:35:08.943506
T539107,Branch 3,Bangalore,,Withdrawal,Success,2025-04-05 16:18:57.360317
T318063,Branch 3,Bangalore,2926.83,Deposit,Success,2025-04-02 23:58:48.659808
T429619,Branch 3,Bangalore,4769.62,Transfer,Failed,2025-04-06 08:52:09.789439
T903679,Branch 3,Bangalore,2137.91,Transfer,Failed,2025-04-07 15:59:25.146927
T490310,Branch 3,Bangalore,1353.0,Withdrawal,Failed,2025-04-05 19:28:49.561951
T259289,Branch 3,Bangalore,,Withdrawal,Failed,
T758213,Branch 3,Bangalore,3133.98,Failed,,2025-04-03 08:03:32.458900
,Branch 3,Bangalore,1878.73,,Failed,2025-04-01 18:04:59.107404
