txn_id,branch,city,amount,transaction_type,status,timestamp
T394968,Branch 2,Delhi,113.43,Failed,Failed,2025-04-03 20:07:50.299367
T215776,Branch 2,Delhi,4032.54,Transfer,Success,2025-04-07 14:21:31.004533
T720987,Branch 2,Delhi,3468.07,Deposit,Success,2025-04-06 12:12:51.580521
T778284,Branch 2,Delhi,,Withdrawal,Failed,2025-04-07 20:35:41.741699
,Branch 2,Delhi,1920.36,,Success,2025-04-05 21:58:48.486218
T821253,Branch 2,Delhi,3643.59,Withdrawal,Failed,2025-04-06 18:57:38.396416
T616676,Branch 2,Delhi,,Withdrawal,Success,2025-04-06 17:09:27.107728
T175396,Branch 2,Delhi,1542.97,,Failed,2025-04-03 16:09:00.264824
T782024,Branch 2,Delhi,207.75,Transfer,Failed,2025-04-03 13:54:51.540253
T515671,Branch 2,Delhi,3727.15,Failed,Success,2025-04-06 22:42:48.087583
,Branch 2,Delhi,3367.54,Deposit,Failed,2025-04-03 12:52:28.366702
T486290,Branch 2,Delhi,3060.77,Transfer,Success,2025-04-06 12:59:09.017564
T731094,Branch 2,Delhi,4445.16,Failed,Success,2025-04-04 15:34:36.563029
T998326,Branch 2,Delhi,3881.2,Transfer,Success,2025-04-01 11:13:37.457045
T735583,Branch 2,Delhi,1353.24,Deposit,Failed,2025-04-05 22:59:04.870535
T664413,Branch 2,Delhi,3518.7,Withdrawal,Success,2025-04-04 01:43:06.552364
T911806,Branch 2,Delhi,,Transfer,Success,2025-04-03 03:11:04.930007
T626347,Branch 2,Delhi,236.07,,Success,2025-04-06 05:57:02.747319
T182526,Branch 2,Delhi,4804.67,Deposit,Success,2025-04-04 10:03:41.994687
T556662,Branch 2,Delhi,1174.56,Transfer,Failed,
T130613,Branch 2,Delhi,2204.06,Failed,Failed,2025-04-02 01:00:13.926658
T194136,Branch 2,Delhi,3935.4,Failed,Success,2025-04-05 05:46:08.827666
,Branch 2,Delhi,2224.19,Withdrawal,Failed,2025-04-02 04:14:43.306054
T362903,Branch 2,Delhi,1591.08,Withdrawal,,2025-04-05 19:17:58.978321
T220364,Branch 2,Delhi,1065.02,Withdrawal,Failed,2025-04-07 04:31:49.141448
T837701,Branch 2,Delhi,769.06,Withdrawal,Success,2025-04-02 00:53:59.245366
T561442,Branch 2,Delhi,4604.51,Failed,,2025-04-01 15:14:20.749410
T770691,Branch 2,Delhi,605.83,Failed,Failed,2025-04-04 20:33:49.838593
T819038,Branch 2,,1797.08,Withdrawal,Success,2025-04-04 16:02:10.493327
T977460,Branch 2,Delhi,1239.83,Withdrawal,Success,2025-04-01 14:43:32.508697
T670793,Branch 2,Delhi,2442.14,Withdrawal,Success,2025-04-05 02:00:46.443240
T222709,Branch 2,Delhi,1624.65,Withdrawal,Failed,
T236928,,Delhi,1383.55,Withdrawal,Failed,2025-04-01 22:49:07.658997
T607902,Branch 2,Delhi,1473.53,Withdrawal,Failed,2025-04-06 05:36:21.115484
,Branch 2,Delhi,4318.22,Deposit,Failed,2025-04-05 08:23:32.582920
T613945,Branch 2,Delhi,,Failed,Success,2025-04-01 05:52:48.094194
T908189,Branch 2,Delhi,230.32,,Success,2025-04-02 21:46:21.048040
T901091,Branch 2,Delhi,4094.56,,Failed,2025-04-02 22:33:44.536963
T288781,Branch 2,Delhi,4200.13,Deposit,Success,2025-04-04 15:05:31.891914
T633946,Branch 2,Delhi,3376.37,Deposit,Success,2025-04-02 01:05:53.702277
