txn_id,branch,city,amount,transaction_type,status,timestamp
T199725,Branch 3,Delhi,3243.73,Withdrawal,Failed,2025-04-01 14:32:14.009781
T436604,Branch 3,Delhi,4057.09,Failed,Success,2025-04-01 06:39:10.359473
T254834,Branch 3,Delhi,1452.02,Withdrawal,Success,2025-04-02 15:22:31.707338
T380524,,Delhi,3129.82,Withdrawal,Success,2025-04-07 21:48:19.097555
T160038,Branch 3,Delhi,4544.83,Withdrawal,Success,2025-04-01 22:21:39.623868
T279289,Branch 3,Delhi,,Failed,Success,2025-04-06 02:38:36.417441
T952458,Branch 3,Delhi,4571.65,,Failed,2025-04-05 22:32:06.003194
T661165,Branch 3,Delhi,1916.62,,Success,2025-04-03 03:20:41.506162
T606804,Branch 3,Delhi,4962.15,Deposit,Failed,2025-04-06 15:19:13.202524
T345373,Branch 3,Delhi,,Failed,Success,2025-04-01 09:33:37.863008
T382805,Branch 3,Delhi,1245.26,,Success,
,,Delhi,,Withdrawal,Success,2025-04-05 09:29:15.159945
T902727,Branch 3,Delhi,535.06,Transfer,Failed,2025-04-04 20:28:33.190315
T251558,Branch 3,Delhi,1184.41,Withdrawal,Success,2025-04-03 01:04:41.656869
T312117,Branch 3,Delhi,3657.4,Failed,Failed,2025-04-04 21:10:47.335631
T524315,Branch 3,Delhi,707.9,Transfer,,2025-04-05 21:46:29.192252
,Branch 3,Delhi,2368.56,Transfer,Failed,2025-04-07 20:21:38.538396
T819994,Branch 3,Delhi,280.26,Failed,Success,2025-04-02 22:37:22.683657
T967137,Branch 3,Delhi,1442.03,Transfer,Failed,
T881558,,Delhi,2530.74,Deposit,Failed,2025-04-04 20:52:22.805492
T911922,Branch 3,Delhi,1565.21,Deposit,Failed,2025-04-06 16:02:02.411213
T496924,Branch 3,Delhi,534.74,Withdrawal,Success,2025-04-05 06:57:19.755412
T612599,Branch 3,Delhi,3745.06,Deposit,Failed,2025-04-05 06:50:39.973207
T611943,Branch 3,Delhi,1011.27,Failed,Success,2025-04-02 19:04:30.702563
T690624,Branch 3,Delhi,4266.51,,Success,2025-04-01 07:09:50.492919
T564784,Branch 3,Delhi,4740.04,Withdrawal,Failed,2025-04-03 22:11:50.443161
T191302,Branch 3,Delhi,1167.05,,Success,2025-04-06 09:19:42.846223
T110931,Branch 3,Delhi,2304.67,Withdrawal,Failed,2025-04-06 18:53:30.094363
T145602,Branch 3,Delhi,3743.42,Withdrawal,Failed,2025-04-05 05:34:06.961850
T473261,Branch 3,Delhi,3168.52,Transfer,Success,2025-04-05 11:40:31.576237
T107110,Branch 3,Delhi,4922.05,Transfer,Success,2025-04-06 12:09:57.885421
T771708,Branch 3,Delhi,1261.19,Deposit,Failed,2025-04-02 17:59:08.249020
T371204,Branch 3,Delhi,1043.2,Failed,Success,2025-04-07 21:33:13.399467
T827691,Branch 3,Delhi,4908.42,Withdrawal,Success,2025-04-03 15:18:00.443104
T825458,Branch 3,Delhi,3122.58,Deposit,Success,2025-04-06 08:23:02.843013
T312004,Branch 3,Delhi,529.72,Failed,Failed,2025-04-02 21:15:25.751530
T386233,Branch 3,Delhi,1323.98,Deposit,Failed,2025-04-07 13:03:44.332886
T130022,Branch 3,Delhi,2058.6,Failed,Success,2025-04-01 16:56:26.198263
T941823,Branch 3,Delhi,3185.85,Withdrawal,Success,2025-04-02 15:08:49.209645
T757787,Branch 3,Delhi,4887.71,,Success,2025-04-02 18:08:25.864836
T341421,Branch 3,Delhi,,Withdrawal,Failed,2025-04-02 10:11:59.225848
T655876,Branch 3,Delhi,4909.51,Transfer,Success,2025-04-06 20:09:02.728832
T825482,Branch 3,Delhi,1933.22,,Success,2025-04-04 10:41:40.713634
T584883,Branch 3,Delhi,2874.81,Transfer,Success,2025-04-03 08:20:32.459564
T796941,Branch 3,Delhi,1696.6,Failed,Failed,2025-04-06 07:37:02.503008
T445866,Branch 3,Delhi,2763.55,Transfer,Success,2025-04-05 19:48:48.361638
T406550,Branch 3,Delhi,,Deposit,Failed,2025-04-03 20:45:03.223507
T537947,Branch 3,Delhi,2646.09,Withdrawal,,2025-04-01 22:51:20.177864
T146768,Branch 3,,446.2,Failed,,2025-04-05 19:55:11.341314
T168899,Branch 3,Delhi,,Deposit,Success,2025-04-05 15:15:29.340643
T753618,Branch 3,Delhi,4695.96,Deposit,Success,2025-04-02 02:47:04.633643
T980505,Branch 3,Delhi,2270.4,,Failed,2025-04-03 18:48:13.585318
T854764,Branch 3,Delhi,3282.96,Transfer,Success,2025-04-02 02:50:56.569282
,Branch 3,Delhi,,Transfer,Failed,2025-04-01 07:07:44.120193
T952262,Branch 3,Delhi,3453.24,Withdrawal,Failed,
T794667,Branch 3,Delhi,1447.77,,Success,2025-04-01 07:15:40.154257
T320427,Branch 3,Delhi,2191.64,Deposit,Success,2025-04-01 14:23:31.048789
T895693,Branch 3,Delhi,4912.56,Withdrawal,Success,2025-04-04 08:59:10.362139
T983646,Branch 3,Delhi,1463.93,Failed,Failed,2025-04-01 08:38:14.778138
T597447,Branch 3,Delhi,512.81,Withdrawal,Success,2025-04-04 21:53:31.563180
T276753,Branch 3,Delhi,865.88,Transfer,Success,2025-04-06 12:17:52.128562
T526650,Branch 3,Delhi,3614.91,Withdrawal,Success,2025-04-02 21:53:12.463788
T126596,Branch 3,Delhi,1650.95,Failed,Success,2025-04-01 04:04:02.869154
T846289,Branch 3,Delhi,3734.04,Transfer,Success,2025-04-03 02:56:51.402630
T671174,Branch 3,Delhi,2502.99,Failed,Success,2025-04-02 00:17:10.336323
T491131,Branch 3,Delhi,,Deposit,Success,2025-04-03 05:38:26.441439
T591076,Branch 3,Delhi,3063.15,Deposit,Failed,2025-04-06 21:20:24.499779
T710799,Branch 3,Delhi,2729.2,Failed,Failed,2025-04-05 09:47:11.782356
T821681,,Delhi,445.79,Failed,Failed,2025-04-07 00:16:13.436401
,Branch 3,Delhi,4507.32,Deposit,Failed,2025-04-04 17:49:01.065643
T840185,Branch 3,Delhi,1623.06,Transfer,Failed,2025-04-01 21:48:18.094962
T803372,Branch 3,Delhi,4500.86,Deposit,Failed,2025-04-06 22:38:52.996153
T723328,Branch 3,Delhi,3575.6,Transfer,Success,2025-04-01 11:02:38.427930
T968479,Branch 3,Delhi,2149.77,Deposit,Success,2025-04-01 01:46:06.844237
T701891,Branch 3,Delhi,2224.22,Failed,Failed,2025-04-03 03:53:40.952509
T821646,Branch 3,Delhi,2259.31,Transfer,Failed,2025-04-04 19:24:55.134279
,Branch 3,Delhi,4927.4,Deposit,Failed,2025-04-01 08:12:44.069396
T378517,Branch 3,Delhi,4949.24,Withdrawal,Success,2025-04-06 14:06:44.290488
T238405,Branch 3,Delhi,4355.98,Transfer,Success,2025-04-04 01:07:06.217147
T602127,Branch 3,Delhi,324.31,Transfer,Success,2025-04-04 16:37:37.670691
T392019,,Delhi,2950.21,Failed,Failed,2025-04-04 13:27:36.434795
T321060,Branch 3,Delhi,,Transfer,Success,2025-04-01 09:44:49.337364
,Branch 3,Delhi,3403.02,Withdrawal,Success,2025-04-02 02:31:01.249731
T442153,Branch 3,Delhi,3561.47,Withdrawal,Failed,2025-04-03 14:29:32.313730
T578314,Branch 3,Delhi,3804.99,Failed,Success,2025-04-01 20:57:54.971486
T909578,Branch 3,Delhi,615.47,Failed,Failed,2025-04-05 06:51:11.294544
T882694,Branch 3,Delhi,1636.43,Withdrawal,Success,
