txn_id,branch,city,amount,transaction_type,status,timestamp
T697968,Branch 5,Mumbai,3270.09,Deposit,Success,2025-04-01 06:44:09.607959
T301949,Branch 5,Mumbai,,Transfer,Failed,2025-04-06 06:50:22.562256
T786221,Branch 5,Mumbai,4956.44,Failed,Failed,2025-04-05 21:35:41.512145
T209707,Branch 5,Mumbai,541.07,Failed,Failed,2025-04-02 09:18:36.349705
T454847,,Mumbai,4049.73,Transfer,Success,2025-04-01 22:19:53.020156
T675802,Branch 5,Mumbai,1854.16,Failed,Success,2025-04-04 06:18:32.042934
T815306,Branch 5,Mumbai,4020.58,Failed,Success,2025-04-04 03:44:28.621350
,Branch 5,Mumbai,3768.13,Transfer,,
T872272,Branch 5,Mumbai,2811.36,Withdrawal,Success,2025-04-05 13:23:23.039974
T569530,Branch 5,Mumbai,2011.24,Transfer,Success,2025-04-06 19:41:40.295267
T949098,Branch 5,Mumbai,2916.03,Transfer,Failed,2025-04-03 14:18:23.561231
T122739,Branch 5,Mumbai,4631.67,Deposit,Success,2025-04-06 22:44:01.173082
T717442,Branch 5,Mumbai,,Deposit,Failed,2025-04-06 09:01:00.298228
T640154,Branch 5,Mumbai,3406.18,Transfer,Success,2025-04-07 10:55:06.600705
T353092,Branch 5,Mumbai,2468.7,Failed,Failed,2025-04-01 10:59:42.639696
T660049,Branch 5,Mumbai,1253.95,Withdrawal,Failed,2025-04-03 10:28:12.213867
T638225,Branch 5,Mumbai,484.47,Deposit,Failed,2025-04-02 14:54:21.820443
T391899,Branch 5,Mumbai,290.41,,Failed,2025-04-05 07:41:26.141154
T565885,Branch 5,Mumbai,2207.02,Transfer,Failed,2025-04-04 12:21:26.224130
T600600,Branch 5,Mumbai,3490.6,Withdrawal,Success,2025-04-06 23:38:08.247771
T983860,Branch 5,Mumbai,1513.02,Deposit,Failed,2025-04-01 02:12:09.541916
T953987,Branch 5,Mumbai,2004.28,Withdrawal,Failed,2025-04-03 09:47:02.022336
T256710,Branch 5,Mumbai,4437.43,Transfer,Success,2025-04-03 14:09:54.254388
T473338,Branch 5,Mumbai,,Transfer,,2025-04-05 10:12:48.299166
T307663,Branch 5,Mumbai,2070.57,Transfer,Success,
T909729,Branch 5,Mumbai,666.35,Failed,,2025-04-02 17:56:08.013004
T820627,Branch 5,Mumbai,2892.57,Withdrawal,Failed,2025-04-01 01:27:59.585177
T475402,Branch 5,Mumbai,4851.15,Withdrawal,Failed,2025-04-05 01:08:28.018377
T826270,Branch 5,Mumbai,2474.75,Deposit,Failed,2025-04-02 05:17:00.421729
,Branch 5,Mumbai,1689.2,Deposit,Success,2025-04-02 01:23:18.615689
T167653,,Mumbai,336.66,Withdrawal,Failed,2025-04-05 21:51:52.142677
T754176,,Mumbai,1901.4,Transfer,Success,2025-04-05 03:32:02.277235
T129592,Branch 5,Mumbai,2860.08,Failed,Success,2025-04-05 01:47:44.336741
T751104,,Mumbai,1302.5,Deposit,Success,2025-04-01 10:18:18.458908
T526996,Branch 5,Mumbai,1980.89,Transfer,Failed,2025-04-04 01:24:11.941033
T668450,Branch 5,Mumbai,4403.92,Deposit,Success,2025-04-02 12:14:21.421736
T436258,Branch 5,Mumbai,593.11,Withdrawal,Failed,
T763179,Branch 5,Mumbai,2158.98,Transfer,Success,2025-04-06 23:05:37.865253
T570307,Branch 5,Mumbai,2415.8,Failed,Failed,2025-04-07 13:50:54.640995
T488621,Branch 5,Mumbai,1902.2,Deposit,Success,2025-04-07 04:16:37.112361
T843414,Branch 5,Mumbai,,Transfer,Failed,
,Branch 5,Mumbai,546.23,Transfer,Failed,2025-04-03 15:09:38.535079
,Branch 5,Mumbai,2586.29,Withdrawal,Failed,2025-04-01 06:32:16.734880
T780956,Branch 5,Mumbai,3521.84,Transfer,Failed,2025-04-04 10:39:28.406442
T783814,Branch 5,Mumbai,1964.23,Deposit,Success,2025-04-04 15:59:07.692280
,Branch 5,Mumbai,1287.48,Deposit,Failed,2025-04-03 14:45:24.320548
T844419,Branch 5,Mumbai,2400.44,Failed,Success,2025-04-04 17:23:26.773733
T793269,Branch 5,Mumbai,190.49,Withdrawal,Failed,2025-04-01 15:50:10.453555
T509288,Branch 5,Mumbai,3225.81,Transfer,Failed,2025-04-04 03:23:44.760388
T300448,Branch 5,Mumbai,,,Failed,2025-04-01 12:58:06.658739
T272429,Branch 5,Mumbai,2038.35,Transfer,Failed,2025-04-06 07:02:22.498929
T182101,Branch 5,Mumbai,1681.84,,,2025-04-02 18:14:14.706646
T636829,Branch 5,Mumbai,2591.33,,Failed,2025-04-01 00:40:07.344284
,Branch 5,Mumbai,,Transfer,Success,2025-04-01 16:24:56.044994
,Branch 5,Mumbai,4943.53,Deposit,Failed,2025-04-07 12:32:08.525294
T959733,Branch 5,Mumbai,3756.87,Withdrawal,,2025-04-01 22:12:31.037545
T227670,Branch 5,Mumbai,2346.67,Transfer,Failed,2025-04-07 05:49:27.819014
T401444,Branch 5,Mumbai,1214.08,Failed,Success,2025-04-01 22:28:11.232578
T149986,Branch 5,Mumbai,4323.88,,Success,
T863059,Branch 5,Mumbai,2284.22,Transfer,Failed,2025-04-03 21:17:24.551732
T867836,Branch 5,Mumbai,847.67,Transfer,,2025-04-07 12:51:01.059805
T129497,Branch 5,Mumbai,4206.64,Failed,Success,2025-04-04 13:26:59.326462
T811875,Branch 5,Mumbai,290.93,Deposit,Failed,2025-04-07 09:15:44.021904
T240708,Branch 5,Mumbai,4050.37,Failed,Success,2025-04-04 07:20:24.003459
T848700,Branch 5,Mumbai,3770.14,Withdrawal,Failed,2025-04-03 23:04:03.877831
T173668,,Mumbai,4624.45,Failed,Success,2025-04-02 11:18:49.054573
,Branch 5,Mumbai,3163.06,Transfer,Failed,2025-04-04 00:22:16.060588
